fid,id,name,X_UTM,Y_UTM
"1","1",KHUFU,319996.452554046,3317938.40967688
"2","2",KHAFRE,319654.869416338,3317590.32080049
"3","3",MENKAURE,319409.73373705,3317210.39235008
