name,representation,type,x,y
KHUFU,Earth,Pyramid,319996.452554046,3317938.40967688
KHAFRE,Venus,Pyramid,319654.869416338,3317590.32080049
MENKAURE,Mars,Pyramid,319409.73373705,3317210.39235008
SPHINX,Venus,Monument,320311.4399093158,3317505.797402434
TEMPLE_CENTER,Mercury,Temple,319824.27857662423,3317588.4469394074
