fid,id,name,category,X_UTM,Y_UTM
"1","4",Sphinx,Monument,"320311.4399093158","3317505.797402434"
"2","5",temple1,Temple,"319793.337393134","3317588.922226404"
"3","6",temple2,temple,"319855.2197601144","3317587.971652411"
